#government,politics,
#trump,politics,
#democracy,politics,
#vote,politics,
#russia,politics,
#putin,politics,
#war,politics,
#fakenews,politics,
#soccer,sport,
#nba,sport,
#sportsbetting,sport,
#league,sport,
#season,sport,
#coronavirus,covid,
#virus,covid,
#spread,covid,
#mask,covid,
#deaths,covid,
#antivaccine,covid,
#antivax,covid,
#faketears,covid,
#smoking,health,
#stopsmoking,health,
#drinking,health,
#socialmedia,Networking,yes
